"description"|"postion"|"posted"|"salary"|"location"|"contract"|"company"|"company_type"|"industry"
"Do you want to join a retail brand that is a market leader in their field? Do you have a passion for studying and crunching the numbers? Interested in shopper behaviour and predicting trends? Position - CRM/ Customer Data Analyst - up to £45k - Fashion Brand. Our client is looking for a new Customer Data Analyst to join their CRM team. Due to the company's continued growth they are now looking to capitalise on and sustain this success. Within the position for the CRM/ Customer Data Analyst you will be the go-to  person for all data and analytics around company performance and consumer trends. You will be responsible for analysing customer, product, e-commerce and retail data. You will identify opportunities for future company growth. As the Customer Data Analyst you  will be supporting the Business Development Manager in analysing market opportunities as working alongside the CRM Manager to form presentable data. The CRM/ Customer Data Analyst will be: Working with data from - Customer data platform, Power BI, Microsoft Dynamics AX.Forming presentable data for the management teamDrawing out the commercial implications of any dataProviding customer performance visibility to all departments - working with sales, marketing, e-commerce and customer serviceDevelop and segment CRM data to predict and grow trendsAnalyse consumer/ customer feedbackIdentifying new consumer that could be reached and howProviding structured and clear - monthly and quarterly data reportsThe Customer Data Analyst will need: High level qualification in Mathematics (A Level/ or higher)Data DrivenExperience of working with e-commerce data2:1 degree or aboveAbility to use TableauGood grasp or developing skills in at least one programming language - Python, Java, Scala, SQLBest in class Excel skillsIf this fits your skillset and you'd be keen to explore then please get your application in today! Key Words: CRM Customer Data Analyst Scientist  "|"Customer Data Analyst - reed.co.uk"|"2021-03-08"|"£35,000 - £45,000 per annum, inc benefits"|"London"|"Permanent, full-time"|"Zachary Daniels"|"Recruitment consultancy"|"Information Technology"
"Python Software Engineer - 6 Month Contract  Remote £459 - £625/Day Inside IR35 We are seeking a Python Software Engineer for our client on a remote basis. This is an initial 6 month contract paying between £459 - £625/Day Inside IR35. This role is inside IR35 - Due to the service of the role this will now be based on an Umbrella solution. Role Profile: Python software products as part of a team as well as training others and setting technical standardsThe successful candidate must have a passion for data, knowledge of current and emerging Python technologies and practices as well as a drive to deliver practical solutions and be responsible for the quality of the outputsReview existing software (Python packages and web API design) within the team and develop these tools as requiredExperience working with machine learning solutions in production settingsExperience developing Web APIsExperience with CI/CD technologiesExperience with software delivery lifecycleCode profiling and optimising performance of codeDo Not Call - Click the \"Apply Now\" button now for immediate review   Python Software Engineer, Python Developer, Python Engineer, Python Programmer, Python, Python Software Developer, CI, CD, CI/CD, Data Science, Machine Learning, Web API, Software Delivery, Data, Data Scientist, Web API Design, Software Developer, Programmer,  Software Engineer, Software Development, Senior Python Developer, Senio Python Software Engineer, Senior Python Programmer Circle Recruitment is acting as an Employment Agency in relation to this vacancy. Earn yourself a referral bonus if you refer somebody else who fills the role! We also offer an iPad if you refer a new client to us and we recruit for them. Follow us on Facebook - Circle Recruitment , Twitter - @Circle_Rec and LinkedIn - Circle Recruitment. "|"Python Software Engineer - 6 Month Contract - reed.co.uk"|"2021-02-19"|"£459.00 - £625.00 per day"|"London"|"Contract, full-time"|"Circle Recruitment"|"Recruitment consultancy"|"Information Technology"
"Are you an experienced GC-MS Scientist looking to take the next step in your career? This is an exciting opportunity for an accomplished Analytical Chemist to join a renowned international research laboratory, in a challenging and diverse role! Joining the Extractables and Leachables team at an exciting time of expansion, you will primarily be hands-on, utilizing GC-MS for the analysis of pharmaceutical samples. You will be involved in all aspects of varied and challenging projects, from extraction/preparation  to final report. You will also be involved in instrument maintenance and troubleshooting and method optimisation. Your responsibilities will also extend to data review and checking, compiling reports for external clients and liasing with them on any technical  queries. The ideal candidate will be a confident GC-MS user; preferably having gained 2+ years’ experience from a regulated industry laboratory. You must possess strong communication skills and be an enthusiastic team player! This is a challenging and rewarding role for which all applicants with an appropriate scientific background, enthusiasm and willingness to learn are encouraged to apply! Key words: analytical chemistry, analyst, scientist, chemist, mass spectrometry, GCMS, LC-MS, GC-MS, gas chromatography, Agilent, Waters, extractable, leachable, leachate, trace analysis, GMP, cGMP, industry, pharmaceutical, laboratory, Cambridge, Cambridgeshire, VRS6749RS Follow VRS Recruitment on LinkedIn to view all our latest vacancies! Please note that by submitting your application to VRS Ltd your details will be registered with us so that we can contact you about suitable job opportunities now and in future. You may unsubscribe at any time by emailing us directly via our website. "|"Senior GC-MS Analyst - reed.co.uk"|"2021-03-18"|"£25,000 - £35,000 per annum"|"Cambridge"|"Permanent, full-time"|"VRS Recruitment"|"Recruitment consultancy"|"Information Technology"
"Infectious Disease Modeller £350 - £400/Day Inside IR35 Remote  3 Months  We are seeking an Infectious Disease Modeller for our Public Sector Client on a remote basis. This is an initial 3 month contract paying between £350 - £400/Day Inside IR35.  This role is inside IR35 - Due to the service of the role this will now be based on an Umbrella solution. Role Profile -  This post will provide scientific support in infectious disease modelling/ Data ScienceThis will include leading and managing the technical and analytical aspects of epidemiological outbreak investigationsTo provide data science support to the Epidemiological investigative work of the JBC, supporting technical analysis and aspects, from a data science perspective assisting the epidemiological outbreak investigationThe post holder will also take a lead role in infectious disease modelling, public health scientific analyses and writing reports on specific projects, regular and ad hoc commissions and publicationEducated to MSc level in relevant subject or equivalent level of experience of working at a similar level in specialist areaProficient in one or more common statistical/database/mapping tools such as: R or PythonPhD desirable but not essentialExperience of interpreting and evaluating epidemiological data, sensitive health data analyses and performing analytical epidemiology in outbreak situationsCompletion of the Field Epidemiology Training Programme or equivalent training and experience in infectious disease epidemiology/public health desirableUnderstanding of data governance and data protectionDo Not Call - Click the \"Apply Now\" button now for immediate review   Infectious Disease Modeller, Data Science, Data Scientist, Modelling, Modeller, Data, Analytics, Analytical, Statistics, Statistical, R, Python, Infectious Disease, Data Governance, Data Protection, Epidemiology Circle Recruitment is acting as an Employment Agency in relation to this vacancy. Earn yourself a referral bonus if you refer somebody else who fills the role! We also offer an iPad if you refer a new client to us and we recruit for them. Follow us on Facebook - Circle Recruitment , Twitter - @Circle_Rec and LinkedIn - Circle Recruitment. "|"Infectious Disease Modeller - reed.co.uk"|"2021-03-01"|"£350.00 - £400.00 per day"|"London"|"Contract, full-time"|"Circle Recruitment"|"Recruitment consultancy"|"Information Technology"
"Interim Senior Data Engineer £500-550 Per Day Central London (WFH) An exceptional 6-month contract has arisen for an Interim Senior Data Engineer to join a PE backed, multi-site, healthy-living brand who have recently developed a new app & online presence. Due to the nature of the current market, understanding customer  behaviours and optimising the quality of data to draw insights from, has never been more essential. They have recently thrived & received another funding round that they are pumping straight into optimising the data function. This role can become permanent  for the right candidate. The role: Gather requirements from the CTO to roadmap an architectural solution for a function with scattered data sets.Develop and maintain ETL data pipelines to ensure usability and accuracy across the entire solution.Flow data into the warehouse ensuring it is effectively cleansed from the new app & websiteLay scalable foundations for a successful BI function through data cleansing and optimisation of the data warehouse.Support the reporting mechanism - building a set of dashboards and automating reporting processes.Look at omnichannel data, produce reports on where customers come from & what potential value can be extracted.Run the pipelining, SQL queries and review pool requests.Help to produce dashboards and reports for analysis by the finance function.Work with the Senior Data Scientist support the development of machine learning and forecasting capabilities.The requirements: 4+ years of data engineering and solution architecture experienceStrong self-starter - you will be the first person of your kind in the business, you must be prepared to roll your sleeves up.Experience with solution architecture - you will have supported a greenfield data project before.Best practise ability to write good quality industrial codeTools: SQL, Python. Matillion, Airflow. Tableau, Power BI.Exposure to some form of Cloud warehousing such as Snowflake, AWS, Azure, GCPExperience in FMCG, food & beverages, retail, or hospitality."|"Interim Senior Data Engineer - reed.co.uk"|"2021-03-10"|"£500.00 - £550.00 per day"|"London"|"Contract, full-time"|"Finatal"|"Recruitment consultancy"|"Information Technology"
"A well-established biotech company is looking for a talented bioinformatics scientist to join their genomics screening team and help develop and grow their platform. Key Responsibilities: Play a key role in developing new workflows and strategies to improve the process.Design and execute analysis tasks, principally around NGS-based screening data.Apply appropriate statistical tests to interpret experimental data accurately and precisely.Interact and collaborate with biologists and bioinformaticians in the team.Document and communicate analytical findings clearly to colleagues and senior leadership.Essential experience: PhD in Computational Biology, Bioinformatics or Computational Chemistry or relevant.Expertise in the analysis of NGS-derived data (amplicon based, ideally) covering QC, handling, processing & interpretation.Experience of working with 'omics platforms (genomics, transcriptomics, epigenetics, proteomics).Excellent knowledge of R or/and Python.Excellent communication skills and ability to disseminate complex data to a non-expert.Desired Skills: Experience analysing pooled functional genomic screening data (e.g. shRNA, CRISPR).Experience of machine learning, graph modelling, artificial-intelligence, Bayesian analytics or other non-traditional approaches to model biological data.Experience in pattern recognition or modelling of synthetic biology networks.Experience in handing protein structure data and tools used in structural bioinformatics.If you are interested in this opportunity, please get in touch with Polina Turbina on and send through a relevant CV to the advert link below. "|"Bioinformatics Scientist - reed.co.uk"|"2021-03-22"|"£60,000 - £65,000 per annum"|"Cambridge"|"Permanent, full-time"|"SciPro"|"Recruitment consultancy"|"Marketing And Media"
"Lead Machine Learning ConsultantLondon £85,000 - £100,000 This is an exciting new opportunity for a Lead Data Science Consultant to join a really reputable Data Consultancy. THE COMPANY This Data-driven Consultancy have a great reputation in the industry and they are working with excellent big-name brands. They are continuously growing and are looking for a Lead Data Science Consultant to join their team. You'll take on a varied role involving  teaching graduates who have recently joined the business, various R&D projects for clients as well as personally led research to suit your own interests. It's a great opportunity to join a successful business and take on a really varied lead role. THE ROLE As the Lead Data Science Consultant for the business you will: You will work with graduates who have recently joined the business and help teach them on Data Science & Machine Learning so they can work on client projects more independentlyYou will work on R&D projects for clients, from gathering requirements to delivering solutionsYou will work on internal R&D products for the businessYou will have the opportunity to work on personal research projects that you're interested inSKILLS AND EXPERIENCE Masters/PhD in a numerical field is essentialProven commercial experience as a Data Scientist, building and deploying machine learning modelsQuant background would be beneficialExperience teaching is necessaryTech: Python/R/SQL/AWS/GCPSALARY AND BENEFITS Basic salary £85,000 - £100,000BenefitsHOW TO APPLY Please register your interest for this role by sending your CV to Rosie O'Callaghan via the apply link on this page Please note that our client is currently running a fully remote interview process and able to on-board and hire remotely as well. This role is intended to be home working for the duration of the pandemic. "|"Lead Machine Learning Consultant - reed.co.uk"|"2021-03-05"|"£85,000 - £100,000 per annum"|"London"|"Permanent, full-time"|"Harnham"|"Recruitment consultancy"|"Education"
"Lead Machine Learning TeacherLondon £85,000 - £100,000 This is an exciting new opportunity for a Lead Data Science Consultant to join a really reputable Data Consultancy. THE COMPANY This Data-driven Consultancy have a great reputation in the industry and they are working with excellent big-name brands. They are continuously growing and are looking for a Lead Data Science Consultant to join their team. You'll take on a varied role involving  teaching graduates who have recently joined the business, various R&D projects for clients as well as personally led research to suit your own interests. It's a great opportunity to join a successful business and take on a really varied lead role. THE ROLE As the Lead Data Science Consultant for the business you will: You will work with graduates who have recently joined the business and help teach them on Data Science & Machine Learning so they can work on client projects more independentlyYou will work on R&D projects for clients, from gathering requirements to delivering solutionsYou will work on internal R&D products for the businessYou will have the opportunity to work on personal research projects that you're interested inSKILLS AND EXPERIENCE Masters/PhD in a numerical field is essentialProven commercial experience as a Data Scientist, building and deploying machine learning modelsQuant background would be beneficialExperience teaching is necessaryTech: Python/R/SQL/AWS/GCPSALARY AND BENEFITS Basic salary £85,000 - £100,000BenefitsHOW TO APPLY Please register your interest for this role by sending your CV to Rosie O'Callaghan via the apply link on this page Please note that our client is currently running a fully remote interview process and able to on-board and hire remotely as well. This role is intended to be home working for the duration of the pandemic. "|"Lead Machine Learning Teacher - reed.co.uk"|"2021-03-17"|"£85,000 - £100,000 per annum"|"London"|"Permanent, full-time"|"Harnham"|"Recruitment consultancy"|"Education"
"DATA ANALYST £30,000 - £38,000  MILTON KEYNES THE COMPANY:  The company are financial qualifications provider based in Milton Keynes who are looking for a Data Analyst to join their Data Team which is made up of a few other MI Analysts and they're also looking to bring on a Data Scientist. The business get data from  a range of different sources including their membership criteria, events and website usage which needs analysing. THE ROLE: As a Data Analyst your responsibilities will include: Querying the database and coding using SQLCreating dashboards and reports in Power BI (they currently use Cognos but are moving to Power BI)Delivering insight to key business stakeholders to drive decision-makingYOUR SKILLS AND EXPERIENCE: The successful Business Analyst will have the following skills and experience: SQL coding experienceExperience creating dashboards and reports using Power BIExcellent communication skillsHOW TO APPLY:  Please register your interest by sending your CV to Ria Verma via the Apply link on this page. "|"Data Analyst - reed.co.uk"|"2021-03-04"|"£30,000 - £38,000 per annum, pro-rata"|"Milton Keynes"|"Permanent, full-time"|"Harnham"|"Recruitment consultancy"|"Information Technology"
"Python Software Engineer - 6 Month Contract  Waterloo £459 - £625/Day Inside IR35 We are seeking a Python Software Engineer for our client based in Waterloo. This is an initial 6 month contract paying between £459 - £625/Day Inside IR35. This role is inside IR35 - Due to the service of the role this will now be based on an Umbrella solution. Role Profile: Python software products as part of a team as well as training others and setting technical standardsThe successful candidate must have a passion for data, knowledge of current and emerging Python technologies and practices as well as a drive to deliver practical solutions and be responsible for the quality of the outputsReview existing software (Python packages and web API design) within the team and develop these tools as requiredKnowledge of data science lifecycleExperience working with machine learning solutions in production settingsExperience developing Web APIsExperience with CI/CD technologiesExperience with software delivery lifecycleCode profiling and optimising performance of codeDo Not Call - Click the \"Apply Now\" button now for immediate review   Python Software Engineer, Python Developer, Python Engineer, Python Programmer, Python, Python Software Developer, CI, CD, CI/CD, Data Science, Machine Learning, Web API, Software Delivery, Data, Data Scientist, Web API Design, Software Developer, Programmer,  Software Engineer, Software Development Circle Recruitment is acting as an Employment Agency in relation to this vacancy. Earn yourself a referral bonus if you refer somebody else who fills the role! We also offer an iPad if you refer a new client to us and we recruit for them. Follow us on Facebook - Circle Recruitment , Twitter - @Circle_Rec and LinkedIn - Circle Recruitment. "|"Python Software Engineer - 6 Month Contract - reed.co.uk"|"2021-02-18"|"£459.00 - £625.00 per day"|"London"|"Contract, full-time"|"Circle Recruitment"|"Recruitment consultancy"|"Information Technology"
"Lead Machine Learning TrainerLondon £85,000 - £100,000 This is an exciting new opportunity for a Lead Data Science Consultant to join a really reputable Data Consultancy. THE COMPANY This Data-driven Consultancy have a great reputation in the industry and they are working with excellent big-name brands. They are continuously growing and are looking for a Lead Data Science Consultant to join their team. You'll take on a varied role involving  teaching graduates who have recently joined the business, various R&D projects for clients as well as personally led research to suit your own interests. It's a great opportunity to join a successful business and take on a really varied lead role. THE ROLE As the Lead Data Science Consultant for the business you will: You will work with graduates who have recently joined the business and help teach them on Data Science & Machine Learning so they can work on client projects more independentlyYou will work on R&D projects for clients, from gathering requirements to delivering solutionsYou will work on internal R&D products for the businessYou will have the opportunity to work on personal research projects that you're interested inSKILLS AND EXPERIENCE Masters/PhD in a numerical field is essentialProven commercial experience as a Data Scientist, building and deploying machine learning modelsQuant background would be beneficialExperience teaching is necessaryTech: Python/R/SQL/AWS/GCPSALARY AND BENEFITS Basic salary £85,000 - £100,000BenefitsHOW TO APPLY Please register your interest for this role by sending your CV to Rosie O'Callaghan via the apply link on this page Please note that our client is currently running a fully remote interview process and able to on-board and hire remotely as well. This role is intended to be home working for the duration of the pandemic. "|"Lead Machine Learning Trainer - reed.co.uk"|"2021-03-12"|"£85,000 - £100,000 per annum"|"London"|"Permanent, full-time"|"Harnham"|"Recruitment consultancy"|"Education"
"Head of Decision ScienceLondon£120,000 + Benefits / Bonus Harnham are working with a leading fintech in the UK who are hiring for someone to come in and lead their Data Science efforts in London. As part of a lending business your main focus will be to lead the machine learning capabilities behind their core decisioning engine, as well as to look for other smart ways in which the company can utilise its data. It is a greenfield environment with plenty of opportunities for high-impact data science to take shape and help the business grow! They have already loaned over £1bn successfully and have a very strong growth trajectory for the next few years. The company  has also performed well during Covid-19, and are now looking to invest in their data capability, starting with this hire. THE ROLE You will: Report into C-Level Executives and take ownership over the company's data infrastructure and analytics capabilityHelp lead the company's data transformation and be responsible for implementing innovative machine learning in several key areasHelp grow the function in the future and build a world-class team!Be starting as an IC with the scope to build the team from scratch.YOUR SKILLS AND EXPERIENCE You will have: An MSc in a quantitative disciplineExperience in both a credit risk/decisioning and data science capacityProven experience in PythonDemonstrated experience in delivering impactful machine learning across several years in industryA strong hands-on coding ability and a willingness to stay close to the data.THE BENEFITS Up to £120,000 base salary + bonus KEYWORDS Data Science, Decision Science, Credit Risk, Machine Learning, Data Scientist, Analyst, Decisioning, Marketing, Scorecards, Models, Modelling, Python, R, SQL, Financial Services, Lending. "|"Head of Decision Science - reed.co.uk"|"2021-03-17"|"£115,000 - £120,000 per annum"|"London"|"Permanent, full-time"|"Harnham"|"Recruitment consultancy"|"Information Technology"
"Machine Learning Researcher | £70,000 - £90,000 (Remote) Deep Learning | Machine Learning | Video | Python | Signal Processing | Sponsorship Want to get involved with a Deep Learning specialist? This deep learning video disrupter in central London are looking for a self-starting independent Machine Learning Engineer to improve upon the DL architecture, research and implement methods for maximum impact on the product. You: Have published papers with Deep Learning in Computer Vision or signal processing or IEEE transaction journals such as ICCV, CVPR, ECCV, NeurIPS, ICASSP or ICIP.Completed a research degree (PhD or MPhil) in video signal processing or deep learning video etc.Self-starter, able to operate independentlyPythonDesirable: Filed patents or can showcase you've not used off-the-shelf components and built something using first principles of deep learningBenefits: Up to £90,000 per annumFully remote, even after restrictions are liftedBonusCan offer sponsorshipThis vacancy will be closing applications on 15th March 2021. If you have any questions or fancy a chat about the opportunity feel free to give George Bone a call on or apply for the advert and George will be in contact. Deep Learning | Machine Learning | Engineer | Video | Signal Processing | Computer Vision | Data Scientist | Data Science | Researcher | PhD | Python | Tensorflow | PyTorch | AI | Artificial Intelligence | CPU | GPU | AWS | GCP | London | £70,000  - £90,000 "|"Machine Learning Researcher Remote - reed.co.uk"|"2021-03-03"|"£70,000 - £90,000 per annum"|"London"|"Permanent, full-time"|"Amber Resourcing"|"Direct employer"|"Information Technology"
"Lead Data Science ConsultantLondon £85,000 - £100,000 This is an exciting new opportunity for a Lead Data Science Consultant to join a really reputable Data Consultancy. THE COMPANY This Data-driven Consultancy have a great reputation in the industry and they are working with excellent big-name brands. They are continuously growing and are looking for a Lead Data Science Consultant to join their team. You'll take on a varied role involving  teaching graduates who have recently joined the business, various R&D projects for clients as well as personally led research to suit your own interests. It's a great opportunity to join a successful business and take on a really varied lead role. THE ROLE As the Lead Data Science Consultant for the business you will: You will work with graduates who have recently joined the business and help teach them on Data Science & Machine Learning so they can work on client projects more independentlyYou will work on R&D projects for clients, from gathering requirements to delivering solutionsYou will work on internal R&D products for the businessYou will have the opportunity to work on personal research projects that you're interested inSKILLS AND EXPERIENCE Masters/PhD in a numerical field is essentialProven commercial experience as a Data Scientist, building and deploying machine learning modelsQuant background would be beneficialExperience teaching is necessaryTech: Python/R/SQL/AWS/GCPSALARY AND BENEFITS Basic salary £85,000 - £100,000BenefitsHOW TO APPLY Please register your interest for this role by sending your CV to Rosie O'Callaghan via the apply link on this page Please note that our client is currently running a fully remote interview process and able to on-board and hire remotely as well. This role is intended to be home working for the duration of the pandemic. "|"Lead Data Science Consultant - reed.co.uk"|"2021-03-01"|"£85,000 - £100,000 per annum"|"London"|"Permanent, full-time"|"Harnham"|"Recruitment consultancy"|"Education"
"Data Engineer Salary: Competitive - London Tec Partners are looking for an passionate data engineer or similar data role to work for an award-winning LegalTech-meets-Proptech start up. Their mission is to ensure anyone involved in a property transaction understands what they are entering in to before  any legal fees are incurred. As a Data Engineer, you will be joining an early-stage Data engineering team at an innovative start up. Who are building a greenfield product with the latest technologies. As a Data Engineer you will work predominantly in Python, SQL and be involved in the  development and creation of a new data warehouse. Data Stack: Python, SQL, Airflow, Stitch/Fivetran, Redshift/BigQuery/Snowflake, PostgreSQL, Kafka, Redis, and AWS, Docker and Kubernetes. Requirements for the Data Engineer: Experience in a Data Engineer role or similar. Proficient experience in Python and SQL Worked with Airflow Experience in building high performance, distribution systems. Benefits for the Data Scientist: Competitive Salary Flexible working hours and locations. Extensive Training. 25 Days Holiday. Data, Data engineer, data Engineering, Data Engineering Python, SQL, Airflow, Stitch/Fivetran, Redshift/BigQuery/Snowflake, PostgreSQL, Kafka, Redis, and AWS, Docker and Kubernetes, Start-Up, Start Up, Start up, Data, Data engineer, data Engineering, Data  Engineering Python, SQL, Airflow, Stitch/Fivetran, Redshift/BigQuery/Snowflake, PostgreSQL, Kafka, Redis, and AWS, Docker and Kubernetes, Start-Up, Start Up, Start up, Data, Data engineer, data Engineering, Data Engineering Python, SQL, Airflow, Stitch/Fivetran,  Redshift/BigQuery/Snowflake, PostgreSQL, Kafka, Redis, and AWS, Docker and Kubernetes, Start-Up, Start Up, Start up. At Tec Partners we are committed to being an inclusive organisation that provides equality of opportunity to all in terms of employment, recruitment and the service we provide to our customers. We welcome applications from all suitably qualified persons  regardless of their race, sex, disability, religion/belief, sexual orientation or age. "|"Data Engineer - reed.co.uk"|"2021-02-19"|"Salary negotiable"|"London"|"Permanent, full-time"|"TEC PARTNERS LIMITED"|"Recruitment consultancy"|"Information Technology"
"We are currently working in partnership with a high profile government sponsored national project in the Milton Keynes area. They are seeking a Senior Biomedical Scientist for their laboratory. This role will provide the laboratory with a Health and Care Professions Council (HCPC) registered and experienced senior biomedical scientist (BMS). You will be responsible for ensuring that all laboratory quality assurance protocols meet the ISO15189:2012  standard and are being followed. You will gather performance data for presentation at regular data quality meetings. In addition, you will be responsible for the interpretation and authorisation of RT-PCR results that require human intervention.You will also  assist the laboratory coordinators, and other laboratory personnel, to carry out troubleshooting of the test process should issues arise. The duties outlined below are an outline of the tasks, responsibilities and outcomes required of the role. The post holder will also be expected to carry out other duties as may reasonably be required. PRINCIPAL DUTIES AND RESPONSIBILITIES: Provide technical expertise to the project.Authorise PCR results, including IQA and EQA.Supervision of staff in the PCR analysis laboratory including oversight of maintenance and troubleshooting of PCR platforms.Responsibility for the training and development of staff in the PCR analysis laboratory.Create and review technical documents and SOPs compliant with the ISO15189:2012 standard using the laboratory QMS.Assist laboratory management in ensuring that compliance with organisational quality standards and H&S requirements are maintained.Pursue a programme of continuous professional development in accordance with any relevant professional registration.PERSONAL SPECIFICATION ESSENTIAL CRITERIA BSc Honours degree recognised by the Institute for Biomedical Science (IBMS)HCPC registration.Extensive experience using a variety of PCR methods including authorising/validating diagnostic results.Evidence of ability to interpret internal and external quality assurance results and to take appropriate corrective actions/investigations.Experience of maintaining documents and procedures within diagnostic laboratory accreditation specifications (ISO15189:2012).Experience of training and supervision in a laboratory setting.Willingness to participate in 24/7 shift working as required.Evidence of excellent communication and team-working skills.Evidence of excellent attention to detail.DESIRABLE CRITERIA: Experience of using liquid handling robots (e.g. TECAN liquid handling systems).Experience of viral RNA testing using real-time (RT) PCR methodology.Evidence of ability to compile and summarise data for presentation.Experience of supervising a team in a laboratory setting.Higher level degree or professional qualification (eg Msc, Higher Specialist portfolio).Experience in using end-Point PCR methods.Experience of Health and Safety regulations and procedures."|"Senior Biomedical Scientist  - reed.co.uk"|"2021-03-15"|"£23.50 - £28.50 per hour"|"Walton Hall"|"Contract, full-time"|"Industrious Recruitment"|"Recruitment consultancy"|"Health And Social"
"Quantitative Researcher / Scientist Trading | Quantitative | Financial Services £90,000 - £140,000 Predicting the future properties of financial instruments is the aim of this financial start-up. Having been funded by some of the largest investment firms coupled with their big ambitions and global reach they're accelerating their growth and are looking  for smart thinkers to join their impress team. They can offer work in their London or Gloucester office whilst also placing a huge importance on working from home and will do their very best to support working preferences. You'll be given personal freedom to innovate and join an open culture of idea sharing. You You'll love designing, testing, deploying, maintaining and improving our software for building complex statistical models for tradingDesign and implement state-of-the-art techniques for statistical learningDesign experiments for stock behaviourEssential Java or C++Data Science techniquesYou'll get Shares in the future performance of the companyGenerous pensionPrivate health (you and family)Support for continuous learning and developmentGreat tech kitThis vacancy will be closing application on March 28th 2021. If you have any questions or fancy a chat about the opportunity feel free to give George Bone a call on or apply for the advert and George will be in contact. Financial Services | Start-up | Trading | Quantitative | Algorithms | Machine Learning | Data Science | Stocks | Java | C++ | London | Gloucester | Remote | £90,000 - £140,000 "|"Quantitative Researcher - reed.co.uk"|"2021-03-13"|"£90,000 - £140,000 per annum"|"London"|"Permanent, full-time"|"Amber Resourcing"|"Direct employer"|"Information Technology"
"Senior Insight Analyst Online Tech & Product Company£450-£550 per day inside IR35Remote  A well-know and established online Tech & Product brand are searching for a Senior Insight Analyst or a Data Scientist to join a growing analytics team. The ideal candidate will have experience working in a product-focused environment, with excellent experience  in AB testing, product analysis, and experimentation. You will have strong SQL and Python experience.  You will help the business understand questions such as, what markets shall we enter next, how can we improve our apps, how do changes in customer interfaces change customer behaviour and choices?  Role & Responsibilities Working in a strong analytics team, with a focus on AB testing, product analysis and experimentation Help the business improve the app through analytical techniques, answering business questions Skills & Experiences Excellent technical skills across SQL and PythonBackground working in product-based companies Experience in AB testing, product analysis and experimentation Benefits £450-£550 per day inside IR35 How to Apply Register your interest by sending your CV to Lloyd Dunstall via the Apply link on this page Senior Insight Analyst / Data Science / Experimental / AB Testing / A/B Testing / Product / Customer / Customer Insights / Marketing / Marketing Insights  "|"Senior Insight Analyst - reed.co.uk"|"2021-03-26"|"£450.00 - £550.00 per day"|"London"|"Contract, full-time"|"Harnham"|"Recruitment consultancy"|"Marketing And Media"
"TEC Partners are working with a global technology powerhouse in the search for an Optical Scientist/Engineer, based in Cambridge. Salary: £40,000 Location: Cambridge Start date: ASAP We are looking for a skilled Optical Scientist/Engineer. With a PhD in optics, experimental quantum physics or related discipline (electrical engineering, nanosciences, etc) or degree plus equivalent professional experience.  You must be skilled and bring a strong background in several of the following areas (experimental): High average power lasersUltrafast lasers/opticsLaser material processingQuantum opticsCryogenic experimentsMicrowave setups and measurements, magnetometrySpatial light modulatorsHigh resolution optical microscopyNanomechanical systemsIn addition, the candidate must possess the following skills: Instrument control (in Python), data analysis and acquisitionAble to work independently with minimal supervision towards defined task milestones within a team environmentStrong understanding of quantum phenomena in materials in nanoscaleGood organisational skills, capable of managing multiple simultaneous tasks effectivelyBesides their qualifications for experimental research, candidates should in general provide a high degree of independence, a genuine interest in exploring new physics and technologies, and a general motivation to perform work in a highly collaborative  spirit.If this sounds of interest please apply with with an up to date CV. At Tec Partners we are committed to being an inclusive organisation that provides equality of opportunity to all in terms of employment, recruitment and the service we provide to our customers. We welcome applications from all suitably qualified persons  regardless of their race, sex, disability, religion/belief, sexual orientation or age. "|"Optical Scientist - reed.co.uk"|"2021-03-17"|"£38,000 - £40,000 per annum"|"Cambridge"|"Contract, full-time"|"TEC PARTNERS LIMITED"|"Recruitment consultancy"|"Engineering"
